11:24:00 | __main__ | ERROR | [Errno 2] No such file or directory: 'C:\\Users\\lwils\\Documents\\Revature\\DataFrame_MaganLeeAlec\\CafeSalesAnalysis\\src\\data\\dirty_cafe_sales.jso'
11:35:18 | __main__ | DEBUG | Attempting db connection
11:35:18 | __main__ | ERROR | An error occured connecting to the database: cannot access local variable 'CS' where it is not associated with a value
11:37:47 | __main__ | DEBUG | Attempting db connection
11:37:47 | __main__ | ERROR | An error occured connecting to the database: Expected string or URL object, got None
11:38:58 | __main__ | DEBUG | Attempting db connection
11:38:58 | __main__ | ERROR | An error occured connecting to the database: Expected string or URL object, got None
11:39:33 | __main__ | DEBUG | Attempting db connection
11:39:33 | __main__ | ERROR | An error occured connecting to the database: Can't load plugin: sqlalchemy.dialects:C
11:39:46 | __main__ | DEBUG | Attempting db connection
11:39:46 | __main__ | ERROR | An error occured connecting to the database: Expected string or URL object, got None
11:41:36 | __main__ | DEBUG | Attempting db connection
11:41:36 | __main__ | ERROR | An error occured connecting to the database: Expected string or URL object, got None
11:42:14 | __main__ | DEBUG | Attempting db connection
11:42:14 | __main__ | ERROR | An error occured connecting to the database: Expected string or URL object, got None
11:42:38 | __main__ | DEBUG | Attempting db connection
11:42:38 | __main__ | ERROR | An error occured connecting to the database: Expected string or URL object, got None
11:43:11 | __main__ | DEBUG | Attempting db connection
11:43:11 | __main__ | INFO | Successfully connected to the database
11:46:58 | __main__ | DEBUG | Attempting to clear the database
11:46:58 | __main__ | DEBUG | Attempting db connection
11:46:58 | __main__ | INFO | Successfully connected to the database
11:51:04 | __main__ | DEBUG | Attempting to clear the database
11:51:04 | __main__ | DEBUG | Attempting db connection
11:51:04 | __main__ | INFO | Successfully connected to the database
11:51:29 | __main__ | DEBUG | Attempting to clear the database
11:51:29 | __main__ | DEBUG | Attempting db connection
11:51:29 | __main__ | INFO | Successfully connected to the database
11:54:14 | __main__ | DEBUG | Attempting to clear the database
11:54:14 | __main__ | DEBUG | Attempting db connection
11:54:14 | __main__ | INFO | Successfully connected to the database
12:56:06 | __main__ | DEBUG | Attempting to clear the database
12:56:06 | __main__ | DEBUG | Attempting db connection
12:56:06 | __main__ | INFO | Successfully connected to the database
12:56:06 | __main__ | INFO | Successfully cleared the database
12:56:06 | __main__ | DEBUG | end of drop_table
12:56:15 | __main__ | DEBUG | Attempting to clear the database
12:56:15 | __main__ | DEBUG | Attempting db connection
12:56:15 | __main__ | INFO | Successfully connected to the database
12:56:15 | __main__ | INFO | Successfully cleared the database
12:56:15 | __main__ | DEBUG | end of drop_table
13:07:42 | __main__ | DEBUG | Attempting to clear the database
13:07:42 | __main__ | DEBUG | Attempting db connection
13:07:42 | __main__ | INFO | Successfully connected to the database
13:07:42 | __main__ | ERROR | A general error occured handling the database: An error occured executing a query 'DROP TABLE non_exist;'
13:07:42 | __main__ | DEBUG | End of drop_table()
13:08:38 | __main__ | DEBUG | Attempting to clear the database
13:08:38 | __main__ | DEBUG | Attempting db connection
13:08:38 | __main__ | INFO | Successfully connected to the database
13:08:38 | __main__ | ERROR | An error occured executing a query 'DROP TABLE non_exist;'
13:08:38 | __main__ | DEBUG | End of drop_table()
13:08:55 | __main__ | DEBUG | Attempting to clear the database
13:08:55 | __main__ | DEBUG | Attempting db connection
13:08:55 | __main__ | INFO | Successfully connected to the database
13:08:55 | __main__ | ERROR | An error occured executing a query 'DROP TABLE non_exist;': (psycopg2.errors.UndefinedTable) table "non_exist" does not exist

[SQL: DROP TABLE non_exist;]
(Background on this error at: https://sqlalche.me/e/20/f405)
13:08:55 | __main__ | DEBUG | End of drop_table()
13:11:19 | __main__ | DEBUG | Attempting to clear the database
13:11:19 | __main__ | DEBUG | Attempting db connection
13:11:19 | __main__ | INFO | Successfully connected to the database
13:11:20 | __main__ | ERROR | An error occured executing a query 'DROP TABLE non_exist;': (psycopg2.errors.UndefinedTable) table "non_exist" does not exist

[SQL: DROP TABLE non_exist;]
(Background on this error at: https://sqlalche.me/e/20/f405)
13:11:20 | __main__ | DEBUG | End of drop_table()
13:11:50 | __main__ | DEBUG | Attempting to clear the database
13:11:50 | __main__ | DEBUG | Attempting db connection
13:11:50 | __main__ | INFO | Successfully connected to the database
13:11:50 | __main__ | ERROR | An error occured executing a query 'DROP TABLE non_exist;': (psycopg2.errors.UndefinedTable) table "non_exist" does not exist

[SQL: DROP TABLE non_exist;]
(Background on this error at: https://sqlalche.me/e/20/f405)
13:11:50 | __main__ | DEBUG | End of drop_table()
13:12:07 | __main__ | DEBUG | Attempting to clear the database
13:12:07 | __main__ | DEBUG | Attempting db connection
13:12:07 | __main__ | INFO | Successfully connected to the database
13:12:07 | __main__ | ERROR | (psycopg2.errors.UndefinedTable) table "non_exist" does not exist

[SQL: DROP TABLE non_exist;]
(Background on this error at: https://sqlalche.me/e/20/f405)
13:12:07 | __main__ | ERROR | An error occured executing a query 'DROP TABLE non_exist;': (psycopg2.errors.UndefinedTable) table "non_exist" does not exist

[SQL: DROP TABLE non_exist;]
(Background on this error at: https://sqlalche.me/e/20/f405)
13:12:07 | __main__ | DEBUG | End of drop_table()
13:13:02 | __main__ | DEBUG | Attempting to clear the database
13:13:02 | __main__ | DEBUG | Attempting db connection
13:13:03 | __main__ | INFO | Successfully connected to the database
13:15:47 | __main__ | DEBUG | Attempting to clear the database
13:15:47 | __main__ | DEBUG | Attempting db connection
13:15:47 | __main__ | INFO | Successfully connected to the database
13:15:47 | __main__ | ERROR | An error occured executing a query 'DROP TABLE non_exist;': (psycopg2.errors.UndefinedTable) table "non_exist" does not exist

[SQL: DROP TABLE non_exist;]
(Background on this error at: https://sqlalche.me/e/20/f405)
13:15:47 | __main__ | DEBUG | End of drop_table()
13:17:49 | __main__ | DEBUG | Attempting db connection
13:17:49 | __main__ | INFO | Successfully connected to the database
13:18:04 | __main__ | DEBUG | Attempting db connection
13:18:04 | __main__ | INFO | Successfully connected to the database
13:18:18 | __main__ | DEBUG | Attempting db connection
13:18:18 | __main__ | INFO | Successfully connected to the database
13:18:41 | __main__ | DEBUG | Attempting db connection
13:18:41 | __main__ | INFO | Successfully connected to the database
13:18:41 | __main__ | DEBUG | Attempting to clear the database
13:18:41 | __main__ | DEBUG | Attempting db connection
13:18:41 | __main__ | INFO | Successfully connected to the database
13:18:41 | __main__ | INFO | Successfully cleared table sales
13:18:41 | __main__ | DEBUG | End of drop_table()
13:35:33 | __main__ | DEBUG | Attempting to write to the database
13:35:33 | __main__ | DEBUG | Attempting db connection
13:35:33 | __main__ | INFO | Successfully connected to the database
13:35:33 | __main__ | ERROR | NDFrame.to_sql() missing 1 required positional argument: 'con'
13:35:59 | __main__ | DEBUG | Attempting to write to the database
13:35:59 | __main__ | DEBUG | Attempting db connection
13:35:59 | __main__ | INFO | Successfully connected to the database
13:37:27 | __main__ | DEBUG | Attempting to write to the database
13:37:27 | __main__ | DEBUG | Attempting db connection
13:37:27 | __main__ | INFO | Successfully connected to the database
13:37:27 | __main__ | ERROR | Table 'sales' already exists.
13:37:27 | __main__ | DEBUG | Attempting to clear the database
13:37:27 | __main__ | DEBUG | Attempting db connection
13:37:27 | __main__ | INFO | Successfully connected to the database
13:37:27 | __main__ | INFO | Successfully cleared table sales
13:37:27 | __main__ | DEBUG | End of drop_table()
